SKR MK3 Bear BOM
,QTY,,,,,
JST 2.5 4pin,5,455-2267-ND,Digi-Key ,,0.30,
JST 2.5 3pin,2,455-2219-ND,Digi-Key ,,0.12,
JST 2.5 2pin,7,455-2266-ND,Digi-Key ,,0.38,
22-28awg Crimp Tin,38,455-1135-1-ND,Digi-Key ,,1.14,
16awg Ferrule,4,288-1019-ND,Digi-Key ,Bed and PSU,0.56,
20awg Ferrule,2,288-1007-ND,Digi-Key ,Heater Cartridge,0.26,
26awg Ferrule,2,288-1001-ND,Digi-Key ,Hotend fan,0.42,
24V 4010 Axial Fan,1,1570-G4010L24B-RSR-ND,Digi-Key ,Hotend,8.90,
24V 5015 Blower,1,1570-1034-ND,Digi-Key ,Nozzle,8.18,
16awg Fork Spade Connector,2,277-9649-ND,Digi-Key ,PSU,0.54,
16awg Ring Connector,2,A122611-ND,Digi-Key ,Bed,0.66,
Molex SL Connector,1,WM2535-ND,Digi-Key ,PINDA,0.56,
22-24awg Crimp,4,WM2515-ND,Digi-Key ,PINDA,0.94,
16awg Silicone Wire,,https://www.amazon.com/dp/B07FMLVF84/ref=cm_sw_r_cp_api_i_CtgvEbFNSJB3N,Amazon,Bed 480mm               PSU 680mm,19.88,
24awg Wire Kit,,https://www.amazon.com/dp/B01LH1G2IE/ref=cm_sw_r_cp_api_i_FSivEbG5NKAYC,Amazon,PINDA and Fans,16.00,
JST rectangular connector FEMALE,2,455-2653-ND,Digi-Key ,Fans,0.44,
JST rectangular connector MALE,2,455-2654-ND,Digi-Key ,Fans,0.40,
Socket Crimp Tin,4,455-2652-1-ND,Digi-Key ,Fans,0.44,
Pin Crimp Tin,4,455-1909-1-ND,Digi-Key ,Fans,0.44,
,,,,,,
BigTreeTech SKR V1.4,1,,Amazon,Board,45.00,67.99 Kit price
BigTreeTech TMC 2209,5,,Amazon,Drivers,42.99,
,,,,,,
,,,,,,
Optional,,,,,,
24V 4010 Axial Fan,1,1570-G4010L24B-RSR-ND,,Case fan,8.90,
