Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
5,455-2267-ND,XHP-4,CONN HOUSING 2.5MM 4POS,,5,0,0.1,0.5
2,455-2219-ND,XHP-3,CONN HOUSING 2.5MM XH 3POS,,2,0,0.1,0.2
7,455-2266-ND,XHP-2,CONN HOUSING 2.5MM 2POS,,7,0,0.1,0.7
38,455-1135-1-ND,SXH-001T-P0.6,CONN SOCKET 22-28AWG CRIMP TIN,,38,0,0.044,1.67
4,288-1019-ND,1181015,CONN FERRULE DIN 16AWG BLACK,,4,0,0.18,0.72
2,288-1007-ND,1161050,CONN FERRULE DIN 20-24AWG WHITE,,2,0,0.17,0.34
2,288-1001-ND,1161014,CONN FERRULE DIN 26-28AWG GRAY,,2,0,0.23,0.46
1,1570-G4010L24B-RSR-ND,G4010L24B-RSR,FAN AXIAL 40X10MM 24VDC WIRE,,1,0,8.9,8.9
1,1570-1034-ND,B5015E24B-BSR,BLOWER 50X15MM 24VDC,,0,1,8.18,8.18
2,277-9649-ND,3240038,CONN SPADE TERM 14-16AWG M3.5,,2,0,0.29,0.58
2,A122611-ND,342143-1,CONN RING CIRC 14-16AWG M4 CRIMP,,2,0,0.35,0.7
1,WM2535-ND,701070003,CONN HOUSING MALE 4POS .100,,1,0,0.6,0.6
4,WM2515-ND,16020115,CONN PIN 22-24AWG CRIMP GOLD,,4,0,0.39,1.56
2,455-2653-ND,SYR-02T,CONN RCPT HSNG 2POS 2.5MM RED,,2,0,0.22,0.44
2,455-2654-ND,SYP-02T-1,CONN PLUG HSNG 2POS 2.5MM RED,,2,0,0.2,0.4
4,455-1909-1-ND,SYM-001T-P0.6(N),CONN PIN 22-28AWG CRIMP TIN,,4,0,0.11,0.44
2,455-2652-1-ND,SYF-001T-P0.6(LF)(SN),CONN SOCKET 22-28AWG CRIMP TIN,,2,0,0.11,0.22
